Filling level [%],Filling level [%] prob0,Filling level [%] prob1,Filling level [%] prob2,Object,Sequence
2.0,0.002,0.312,0.686,10,0058
2.0,0.052,0.426,0.522,10,0021
2.0,0.1,0.262,0.638,10,0018
2.0,0.008,0.348,0.644,10,0027
2.0,0.0,0.338,0.662,10,0082
1.0,0.008,0.636,0.356,10,0076
0.0,0.676,0.114,0.21,10,0075
2.0,0.008,0.356,0.636,10,0029
2.0,0.0,0.286,0.714,10,0080
1.0,0.006,0.588,0.406,10,0056
0.0,0.782,0.114,0.104,10,0004
1.0,0.276,0.44,0.284,10,0043
0.0,0.786,0.128,0.086,10,0000
2.0,0.0,0.276,0.724,10,0041
2.0,0.328,0.304,0.368,10,0003
1.0,0.064,0.562,0.374,10,0023
1.0,0.008,0.82,0.172,10,0035
1.0,0.062,0.474,0.464,10,0026
2.0,0.13,0.264,0.606,10,0050
2.0,0.006,0.29,0.704,10,0040
0.0,0.694,0.174,0.132,10,0061
2.0,0.0,0.3,0.7,10,0037
2.0,0.094,0.24,0.666,10,0032
0.0,0.714,0.166,0.12,10,0060
1.0,0.054,0.642,0.304,10,0054
0.0,0.588,0.192,0.22,10,0016
1.0,0.006,0.57,0.424,10,0055
2.0,0.0,0.382,0.618,10,0017
2.0,0.002,0.138,0.86,10,0065
1.0,0.006,0.638,0.356,10,0010
1.0,0.014,0.658,0.328,10,0006
1.0,0.004,0.502,0.494,10,0028
2.0,0.0,0.406,0.594,10,0072
2.0,0.002,0.202,0.796,10,0033
0.0,0.496,0.214,0.29,10,0068
2.0,0.278,0.352,0.37,10,0013
2.0,0.002,0.472,0.526,10,0052
1.0,0.002,0.638,0.36,10,0062
2.0,0.0,0.36,0.64,10,0079
2.0,0.004,0.348,0.648,10,0069
2.0,0.202,0.182,0.616,10,0014
1.0,0.162,0.46,0.378,10,0031
1.0,0.002,0.526,0.472,10,0019
0.0,0.658,0.204,0.138,10,0059
2.0,0.002,0.334,0.664,10,0036
1.0,0.358,0.454,0.188,10,0067
2.0,0.0,0.448,0.552,10,0064
2.0,0.018,0.418,0.564,10,0034
2.0,0.006,0.492,0.502,10,0024
1.0,0.252,0.49,0.258,10,0002
1.0,0.04,0.5,0.46,10,0015
2.0,0.0,0.45,0.55,10,0083
1.0,0.236,0.582,0.182,10,0020
1.0,0.016,0.66,0.324,10,0008
1.0,0.03,0.678,0.292,10,0074
1.0,0.056,0.694,0.25,10,0071
1.0,0.084,0.66,0.256,10,0051
1.0,0.006,0.634,0.36,10,0049
2.0,0.008,0.386,0.606,10,0048
2.0,0.0,0.292,0.708,10,0042
1.0,0.0,0.64,0.36,10,0009
2.0,0.032,0.466,0.502,10,0044
1.0,0.124,0.524,0.352,10,0038
2.0,0.0,0.226,0.774,10,0053
1.0,0.006,0.586,0.408,10,0077
1.0,0.358,0.372,0.27,10,0063
0.0,0.604,0.222,0.174,10,0025
1.0,0.006,0.652,0.342,10,0066
1.0,0.006,0.768,0.226,10,0073
1.0,0.134,0.454,0.412,10,0030
2.0,0.11,0.286,0.604,10,0039
2.0,0.006,0.402,0.592,10,0078
2.0,0.004,0.298,0.698,10,0047
0.0,0.77,0.08,0.15,10,0081
1.0,0.008,0.792,0.2,10,0046
2.0,0.002,0.298,0.7,10,0045
2.0,0.0,0.42,0.58,10,0057
2.0,0.134,0.232,0.634,10,0001
1.0,0.004,0.796,0.2,10,0022
2.0,0.074,0.35,0.576,10,0005
2.0,0.002,0.47,0.528,10,0012
1.0,0.004,0.588,0.408,10,0070
1.0,0.012,0.516,0.472,10,0011
2.0,0.002,0.396,0.602,10,0007
0.0,0.542,0.246,0.212,11,0017
1.0,0.002,0.514,0.484,11,0083
1.0,0.15,0.466,0.384,11,0061
1.0,0.012,0.614,0.374,11,0028
2.0,0.01,0.446,0.544,11,0015
1.0,0.11,0.504,0.386,11,0005
2.0,0.002,0.356,0.642,11,0072
2.0,0.004,0.462,0.534,11,0080
2.0,0.0,0.282,0.718,11,0000
1.0,0.018,0.516,0.466,11,0067
2.0,0.008,0.412,0.58,11,0024
2.0,0.002,0.282,0.716,11,0058
2.0,0.002,0.412,0.586,11,0055
2.0,0.012,0.428,0.56,11,0001
2.0,0.0,0.248,0.752,11,0043
0.0,0.802,0.106,0.092,11,0012
1.0,0.032,0.664,0.304,11,0057
1.0,0.004,0.57,0.426,11,0070
1.0,0.036,0.674,0.29,11,0069
0.0,0.382,0.374,0.244,11,0042
2.0,0.152,0.384,0.464,11,0023
1.0,0.004,0.57,0.426,11,0010
1.0,0.332,0.42,0.248,11,0009
0.0,0.764,0.106,0.13,11,0006
1.0,0.108,0.568,0.324,11,0013
1.0,0.142,0.43,0.428,11,0048
2.0,0.002,0.38,0.618,11,0029
1.0,0.032,0.57,0.398,11,0039
2.0,0.082,0.43,0.488,11,0002
1.0,0.0,0.61,0.39,11,0022
1.0,0.026,0.644,0.33,11,0075
2.0,0.344,0.274,0.382,11,0053
1.0,0.152,0.584,0.264,11,0079
2.0,0.0,0.374,0.626,11,0004
2.0,0.01,0.38,0.61,11,0081
1.0,0.012,0.624,0.364,11,0047
2.0,0.034,0.388,0.578,11,0052
1.0,0.026,0.572,0.402,11,0054
1.0,0.03,0.558,0.412,11,0068
2.0,0.092,0.44,0.468,11,0034
1.0,0.108,0.532,0.36,11,0076
0.0,0.754,0.126,0.12,11,0041
2.0,0.05,0.376,0.574,11,0082
0.0,0.518,0.316,0.166,11,0018
1.0,0.12,0.444,0.436,11,0071
0.0,0.484,0.304,0.212,11,0033
2.0,0.002,0.354,0.644,11,0035
2.0,0.0,0.258,0.742,11,0016
2.0,0.002,0.354,0.644,11,0046
2.0,0.02,0.392,0.588,11,0073
2.0,0.018,0.458,0.524,11,0014
1.0,0.066,0.474,0.46,11,0008
1.0,0.002,0.74,0.258,11,0020
2.0,0.328,0.206,0.466,11,0060
0.0,0.66,0.162,0.178,11,0065
2.0,0.002,0.26,0.738,11,0032
0.0,0.6,0.222,0.178,11,0059
2.0,0.004,0.44,0.556,11,0025
2.0,0.006,0.212,0.782,11,0027
2.0,0.1,0.384,0.516,11,0011
1.0,0.112,0.632,0.256,11,0062
2.0,0.042,0.242,0.716,11,0037
2.0,0.0,0.408,0.592,11,0074
1.0,0.038,0.66,0.302,11,0077
2.0,0.004,0.326,0.67,11,0064
2.0,0.012,0.352,0.636,11,0050
1.0,0.314,0.372,0.314,11,0040
2.0,0.034,0.408,0.558,11,0007
2.0,0.224,0.246,0.53,11,0056
2.0,0.0,0.368,0.632,11,0026
2.0,0.006,0.446,0.548,11,0021
1.0,0.018,0.528,0.454,11,0051
1.0,0.028,0.654,0.318,11,0049
2.0,0.012,0.308,0.68,11,0078
0.0,0.796,0.112,0.092,11,0045
2.0,0.044,0.298,0.658,11,0066
0.0,0.632,0.204,0.164,11,0036
1.0,0.058,0.65,0.292,11,0030
1.0,0.01,0.598,0.392,11,0038
2.0,0.02,0.482,0.498,11,0031
1.0,0.004,0.61,0.386,11,0063
0.0,0.678,0.154,0.168,11,0019
2.0,0.002,0.276,0.722,11,0003
2.0,0.082,0.228,0.69,11,0044
1.0,0.06,0.47,0.47,12,0058
0.0,0.884,0.07,0.046,12,0005
2.0,0.028,0.466,0.506,12,0044
1.0,0.008,0.568,0.424,12,0046
0.0,0.8,0.112,0.088,12,0008
1.0,0.016,0.616,0.368,12,0054
0.0,0.704,0.162,0.134,12,0025
0.0,0.536,0.196,0.268,12,0037
1.0,0.032,0.58,0.388,12,0031
1.0,0.09,0.5,0.41,12,0040
1.0,0.018,0.504,0.478,12,0036
1.0,0.078,0.55,0.372,12,0024
1.0,0.008,0.498,0.494,12,0052
1.0,0.032,0.582,0.386,12,0011
1.0,0.074,0.504,0.422,12,0022
1.0,0.286,0.418,0.296,12,0050
0.0,0.44,0.39,0.17,12,0030
1.0,0.014,0.646,0.34,12,0028
1.0,0.026,0.552,0.422,12,0002
