,Object,Sequence,Filling type
0,1,s0_fi0_fu0_b0_l0,0
1,1,s0_fi0_fu0_b0_l1,0
2,1,s0_fi0_fu0_b1_l0,0
3,1,s0_fi0_fu0_b1_l1,0
4,1,s0_fi1_fu1_b0_l0,1
5,1,s0_fi1_fu1_b0_l1,1
6,1,s0_fi1_fu1_b1_l0,1
7,1,s0_fi1_fu1_b1_l1,1
8,1,s0_fi1_fu2_b0_l0,1
9,1,s0_fi1_fu2_b0_l1,1
10,1,s0_fi1_fu2_b1_l0,1
11,1,s0_fi1_fu2_b1_l1,1
12,1,s0_fi2_fu1_b0_l0,2
13,1,s0_fi2_fu1_b0_l1,2
14,1,s0_fi2_fu1_b1_l0,2
15,1,s0_fi2_fu1_b1_l1,2
16,1,s0_fi2_fu2_b0_l0,2
17,1,s0_fi2_fu2_b0_l1,1
18,1,s0_fi2_fu2_b1_l0,2
19,1,s0_fi2_fu2_b1_l1,2
20,1,s0_fi3_fu1_b0_l0,3
21,1,s0_fi3_fu1_b0_l1,3
22,1,s0_fi3_fu1_b1_l0,3
23,1,s0_fi3_fu1_b1_l1,3
24,1,s0_fi3_fu2_b0_l0,3
25,1,s0_fi3_fu2_b0_l1,3
26,1,s0_fi3_fu2_b1_l0,3
27,1,s0_fi3_fu2_b1_l1,3
28,1,s1_fi0_fu0_b0_l0,0
29,1,s1_fi0_fu0_b0_l1,0
30,1,s1_fi0_fu0_b1_l0,0
31,1,s1_fi0_fu0_b1_l1,0
32,1,s1_fi1_fu1_b0_l0,2
33,1,s1_fi1_fu1_b0_l1,1
34,1,s1_fi1_fu1_b1_l0,1
35,1,s1_fi1_fu1_b1_l1,1
36,1,s1_fi1_fu2_b0_l0,1
37,1,s1_fi1_fu2_b0_l1,1
38,1,s1_fi1_fu2_b1_l0,1
39,1,s1_fi1_fu2_b1_l1,1
40,1,s1_fi2_fu1_b0_l0,2
41,1,s1_fi2_fu1_b0_l1,2
42,1,s1_fi2_fu1_b1_l0,2
43,1,s1_fi2_fu1_b1_l1,2
44,1,s1_fi2_fu2_b0_l0,2
45,1,s1_fi2_fu2_b0_l1,2
46,1,s1_fi2_fu2_b1_l0,2
47,1,s1_fi2_fu2_b1_l1,2
48,1,s1_fi3_fu1_b0_l0,3
49,1,s1_fi3_fu1_b0_l1,3
50,1,s1_fi3_fu1_b1_l0,3
51,1,s1_fi3_fu1_b1_l1,3
52,1,s1_fi3_fu2_b0_l0,3
53,1,s1_fi3_fu2_b0_l1,3
54,1,s1_fi3_fu2_b1_l0,3
55,1,s1_fi3_fu2_b1_l1,3
56,1,s2_fi0_fu0_b0_l0,0
57,1,s2_fi0_fu0_b0_l1,3
58,1,s2_fi0_fu0_b1_l0,0
59,1,s2_fi0_fu0_b1_l1,0
60,1,s2_fi1_fu1_b0_l0,1
61,1,s2_fi1_fu1_b0_l1,1
62,1,s2_fi1_fu1_b1_l0,1
63,1,s2_fi1_fu1_b1_l1,1
64,1,s2_fi1_fu2_b0_l0,1
65,1,s2_fi1_fu2_b0_l1,1
66,1,s2_fi1_fu2_b1_l0,1
67,1,s2_fi1_fu2_b1_l1,1
68,1,s2_fi2_fu1_b0_l0,2
69,1,s2_fi2_fu1_b0_l1,2
